"country","city","total_rent","total_revenue","unique_customers","top_category"
"United States","Citrus Heights","23","96.77","1","Action"
"United States","Clarksville","18","83.82","1","Sci-Fi"
"United States","Compton","24","92.76","1","Games"
"United States","Dallas","24","105.76","1","Comedy"
"United States","Dayton","23","105.77","1","Action"
"United States","El Monte","20","74.80","1","Action"
"United States","Fontana","30","123.70","1","Action"
"United States","Garden Grove","24","101.76","1","Horror"
"United States","Garland","25","86.75","1","Animation"
"United States","Grand Prairie","20","76.80","1","Games"
"United States","Greensboro","30","115.70","1","Animation"
"United States","Joliet","25","117.75","1","Drama"
"United States","Kansas City","19","81.81","1","New"
"United States","Lancaster","28","129.72","1","Classics"
"United States","Laredo","25","84.75","1","Drama"
"United States","Lincoln","25","112.75","1","Documentary"
"United States","Manchester","22","85.78","1","Documentary"
"United States","Memphis","33","167.67","1","Family"
"United States","Peoria","25","92.75","1","Family"
"United States","Roanoke","17","73.83","1","Classics"
"United States","Rockford","27","106.73","1","Drama"
"United States","Saint Louis","21","78.79","1","Games"
"United States","Salinas","21","96.79","1","Documentary"
"United States","San Bernardino","26","123.74","1","Sports"
"United States","Sterling Heights","27","126.73","1","Music"
"United States","Sunnyvale","26","103.74","1","Sports"
"United States","Tallahassee","13","37.87","1","Sci-Fi"
"United States","Warren","23","94.77","1","Documentary"
"Venezuela","Barcelona","21","66.79","1","Documentary"
"Venezuela","Caracas","25","94.75","1","Action"
"Venezuela","Cuman","27","111.73","1","Documentary"
"Venezuela","Maracabo","23","111.77","1","New"
"Venezuela","Ocumare del Tuy","19","81.81","1","Action"
"Venezuela","Valencia","20","84.80","1","Sports"
"Venezuela","Valle de la Pascua","22","80.78","1","Horror"
"Vietnam","Cam Ranh","31","149.69","1","Classics"
"Vietnam","Haiphong","24","95.76","1","New"
"Vietnam","Hanoi","23","83.77","1","New"
"Vietnam","Nam Dinh","26","131.74","1","Music"
"Vietnam","Nha Trang","31","127.69","1","Drama"
"Vietnam","Vinh","20","87.80","1","Classics"
"Virgin Islands, U.S.","Charlotte Amalie","31","121.69","1","Animation"
"Yemen","Aden","30","134.70","1","New"
"Yemen","Hodeida","31","157.69","1","Action"
"Yemen","Sanaa","19","70.81","1","Action"
"Yemen","Taizz","27","110.73","1","Family"
"Yugoslavia","Kragujevac","28","130.72","1","Animation"
"Yugoslavia","Novi Sad","23","102.77","1","Sci-Fi"
"Zambia","Kitwe","30","121.70","1","Animation"
