facility_name,facility_type_display,improved_water_supply,improved_sanitation,chalkboard_each_classroom_yn,num_tchrs_with_nce,num_tchr_full_time,num_students_total,num_classrms_total,phcn_electricity,num_toilets_total,num_students_male,num_students_female,num_tchrs_male,num_tchrs_female,date_of_survey,education_type,community,ward,management,sector,unique_lga,latitude,longitude,total_teacher,student_teacher_ratio,total_student
Brofab Secondary  School Umuoma Okpofe,Primary school only,True,True,True,6,6,113,7,False,6,53,60,0,6,2014-04-17,formal_only,Umuoma Okpofe,Okpofe/Ezeagbogu Wd,private,education,imo,5.46846628189087,7.31524765491486,6,18.833333333333332,113
Gulbun primary school,Primary school only,True,True,False,5,9,480,10,False,6,257,223,9,0,2014-04-17,formal_only,Gulbun,Doguwa,public,education,bauchi,11.3578459,10.18317913,9,53.333333333333336,480
Government day sec. school jamaÃ¢ÂÂare,Junior and Senior Secondary school combined,True,True,False,21,25,518,15,False,7,405,113,22,3,2014-04-17,formal_only,JamaÃ¢ÂÂare,JamaÃ¢ÂÂare D,public,education,bauchi,11.67728472,9.90842622,25,20.72,518
Yawe Primary School,Primary school only,False,False,False,2,2,160,4,False,0,106,54,2,0,2014-04-18,formal_only,Yawe,Rafin kada ward,public,education,taraba,7.71757900714874,9.86588358879089,2,80.0,160
"St Augustine's comprehesive secondary school, Akpugo",Junior and Senior Secondary school combined,True,True,True,12,15,403,12,True,2,198,205,8,7,2014-04-17,formal_only,Akpugo,Akpugo,private,education,enugu,6.33186399936676,7.60673940181732,15,26.866666666666667,403
Sautul wahada primary school,Primary and Junior Secondary school combined,True,True,True,8,20,537,12,False,12,267,270,19,1,2014-04-17,integrated,JamaÃ¢ÂÂare,JamaÃ¢ÂÂare B,private,education,bauchi,11.66611911,9.93349975,20,26.85,537
Polchin asali primary school,Primary school only,False,False,True,1,4,130,2,False,0,50,80,4,0,2014-04-17,formal_only,Polchin Asali,Tulai,public,education,bauchi,10.09216766,9.35689685,4,32.5,130
Junior secondary school kocchiyel,Junior Secondary school only,True,True,False,8,9,616,9,True,4,456,160,9,0,2014-04-17,formal_only,Kocchiyel,Tulai,public,education,bauchi,10.09980008,9.31144066,9,68.44444444444444,616
"LGEA School, Dada",Primary school only,True,True,False,3,3,148,6,False,3,70,78,3,0,2014-05-02,formal_only,Dada,Adena,public,education,kwara,9.14194666666667,4.74323333333333,3,49.333333333333336,148
Yakanajin tulai primary school,Primary school only,False,False,False,2,3,230,4,False,0,120,110,3,0,2014-04-17,formal_only,Yakanajin Tulai,Tulai,public,education,bauchi,10.10654503,9.34960206,3,76.66666666666667,230
Kocchiyel primary school,Primary school only,True,True,False,4,5,400,9,True,4,280,120,5,0,2014-04-17,formal_only,Kocchiyel,Tulai,public,education,bauchi,10.10025095,9.31170563,5,80.0,400
LUYEPO PRIMARY SCHOOL,Primary school only,True,True,True,11,14,1005,19,True,8,530,475,3,11,2014-04-17,formal_only,PAPA,A6/PAPA,public,education,lagos,6.58708281,3.96417571,14,71.78571428571429,1005
Community day secondary school kocchiyel,Junior and Senior Secondary school combined,True,True,True,8,9,730,7,True,4,562,168,9,0,2014-04-17,formal_only,Kocchiyel,Tulai,public,education,bauchi,10.09982526,9.3113612,9,81.11111111111111,730
Central school 2 Akpugo,Pre-primary and Primary school combined,True,False,False,4,4,97,16,False,0,52,45,0,4,2014-04-17,formal_only,Akpugo,Akpugo,public,education,enugu,6.33420825004578,7.59521126747131,4,24.25,97
Dandore primary school,Primary school only,False,True,False,2,3,226,6,False,2,120,106,3,0,2014-04-17,formal_only,Dandore,Tulai,public,education,bauchi,10.12140841,9.26059081,3,75.33333333333333,226
Mai Allo junior secondary school,Junior Secondary school only,True,True,True,1,4,95,2,True,2,46,49,4,0,2014-04-17,formal_only,Mai Allo,Tulai,public,education,bauchi,10.10290076,9.22583848,4,23.75,95
GDJSS Numan 111,Junior Secondary school only,False,True,False,14,16,274,10,True,6,98,176,12,4,2014-04-17,formal_only,Numan,Numan 111,public,education,adamawa,9.46193635,12.02935522,16,17.125,274
GDJSS Kudiri,Junior Secondary school only,False,False,False,3,4,38,5,False,0,20,18,3,1,2014-04-17,formal_only,Kudiri,Demsa,public,education,adamawa,9.47480265,12.29030196,4,9.5,38
Jambul primary school,Primary school only,False,False,False,2,3,370,5,False,0,250,120,3,0,2014-04-17,formal_only,Jambul,Tulai,public,education,bauchi,10.12391408,9.28811917,3,123.33333333333333,370
"Nomadic School, Baban Yara",Primary school only,False,False,True,0,1,82,2,False,0,58,24,1,0,2014-05-02,integrated,Baban Yara,Aderan,public,education,kwara,9.21885666666667,4.73667333333333,1,82.0,82
Agwaru primary school,Primary school only,False,False,False,1,3,147,4,False,0,102,45,3,0,2014-04-17,formal_only,Agwaru,Tulai,public,education,bauchi,10.10636713,9.28839019,3,49.0,147
"Senior Secomdary School, Ore Asomu",Junior and Senior Secondary school combined,False,False,False,16,16,197,6,False,0,103,94,13,3,2014-06-10,formal_only,Ore Asomu,Molete,public,education,kwara,8.67493833333333,4.51721666666667,16,12.3125,197
Feature hope  primary school,Pre-primary and Primary school combined,False,False,False,2,8,350,1,False,0,100,250,6,2,2014-04-17,formal_only,Galadima,Galadima,private,education,bauchi,11.17655365,9.75243072,8,43.75,350
UGBOKE NURSERY AND PRIMARY SCHOOL,Pre-primary and Primary school combined,False,False,True,2,2,51,0,False,0,30,21,2,0,2014-04-17,formal_only,UGBOKE ,9,public,education,edo,6.72876629,5.59673784,2,25.5,51
My Choice Guri primary school,Pre-primary and Primary school combined,False,False,False,2,4,180,2,False,0,120,60,4,0,2014-04-17,formal_only,Guri,Guri,public,education,jigawa,12.72233749,10.41357752,4,45.0,180
Jss Mai Allo,Primary and Junior Secondary school combined,True,True,True,2,3,253,4,True,2,139,114,3,0,2014-04-17,formal_only,Mai Allo,Tulai,public,education,bauchi,10.10299981,9.22608376,3,84.33333333333333,253
IGBOGUN JUNIOR HIGH SCHOOL,Junior Secondary school only,True,True,True,2,9,104,10,True,3,41,63,4,5,2014-04-17,formal_only,IGBOGUN,B1,public,education,lagos,6.39939249,4.27217858,9,11.555555555555555,104
Islamic Model Nursery School,Pre-primary and Primary school combined,True,False,False,6,8,162,6,False,0,90,72,1,7,2014-04-17,integrated,TUNGAN MAGAJIYA,TUNGAN MAGAJIYA,private,education,niger,11.176425,5.27445666666667,8,20.25,162
L E A PRIMARY SCHOOL,Primary school only,False,False,False,1,2,23,2,False,0,15,8,2,0,2014-04-17,formal_only,MAI GWAGWARE,KOKOLI,public,education,niger,10.6190516666667,4.52780666666667,2,11.5,23
IGBODE PRIMARY SCH.,Primary school only,True,True,False,11,12,536,10,False,4,211,325,6,6,2014-04-17,formal_only,UNEME ERHURUN,UNEME 9,public,education,edo,7.2823897,6.25551265,12,44.666666666666664,536
ISLAMIYA PRIMARY SCHOOL,Primary school only,False,False,False,1,6,800,5,False,0,500,300,4,2,2014-04-17,formal_only,KOKOLI,KOKOLI,public,education,niger,10.6285333333333,4.51821333333333,6,133.33333333333334,800
Loretto Boys High School,Junior and Senior Secondary school combined,True,True,False,18,18,170,6,True,4,170,0,13,5,2014-04-17,formal_only,Osusu Umuelendu,Ward 4,private,education,abia,5.05837331,7.37065811,18,9.444444444444445,170
Presbyterian Primary School,Pre-primary and Primary school combined,False,True,True,5,5,874,10,True,4,432,442,1,4,2014-04-17,formal_only,Mbiakpan Ididep,Ward 2,public,education,akwa,5.13522596,7.91518046,5,174.8,874
Okaria Echida Community Primary School,Pre-primary and Primary school combined,False,False,False,4,7,305,6,False,0,151,154,4,3,2014-04-17,formal_only,Edda,Ward 17,public,education,ebonyi,6.23694062232971,8.32732021808624,7,43.57142857142857,305
Ihie Ukwu Comprehensive Secondary School,Junior and Senior Secondary school combined,False,False,False,20,21,170,6,False,0,82,88,6,15,2014-04-17,formal_only,Ihie Ukwu,Ward 9,public,education,abia,4.99988639,7.30024771,21,8.095238095238095,170
L.A primary school,Primary school only,False,False,False,3,3,51,7,False,0,26,25,3,0,2014-04-26,formal_only,Iloro Oko,7,public,education,osun,7.68369661,4.62834029,3,17.0,51
Rukur,Primary school only,False,False,False,6,6,172,6,False,0,77,95,3,3,2014-04-17,formal_only,Rufu,Rufu,public,education,taraba,7.18126595020294,10.1092940568924,6,28.666666666666668,172
mararraba Nomadic,Primary school only,False,False,False,2,3,93,2,False,0,45,48,3,0,2014-04-17,formal_only,mararraba ,mararraba,public,education,taraba,7.48662166666667,10.3628716666667,3,31.0,93
Bibinu Nomadic Primary School,Primary school only,False,False,False,4,6,351,4,False,0,178,173,5,1,2014-04-17,formal_only,Bibinu,Gayama,public,education,taraba,7.52226,10.5499816666667,6,58.5,351
Jugudu junior secondary school,Junior Secondary school only,True,False,False,3,5,150,4,False,0,94,56,5,0,2014-04-17,formal_only,Jugudo,Doguwa,public,education,bauchi,11.35564994,10.20430614,5,30.0,150
NKEMDIRIM COMMUNITY SCH NKALEKE OKPUITUMO,Pre-primary and Primary school combined,False,False,False,7,10,322,10,False,0,158,164,7,3,2014-04-17,formal_only,Ndiebor Okpuitumo,Ndiebor Okpuitumo ward 10,public,education,ebonyi,6.26663826,8.25094044,10,32.2,322
Junior Sec. Sch Gwarimpa Estate,Junior Secondary school only,True,True,True,20,39,768,22,True,12,297,471,13,26,2014-02-25,formal_only,Gwarimpa,Gwarimpa,public,education,fct,9.1023263,7.4075857,39,19.692307692307693,768
AKPARATA ERUEKE CENTRAL SCH OKPUITUMO,Primary school only,False,True,True,5,5,204,7,False,4,99,105,5,0,2014-04-17,formal_only,Ndiebor,Ndiebor Okpuitumo ward 10,public,education,ebonyi,6.27551765,8.23895686,5,40.8,204
Zurudu Primary School,Primary school only,False,False,False,0,4,85,2,False,0,40,45,4,0,2014-04-17,formal_only,Zurudu,Yanfako,public,education,sokoto,13.29740246,6.59255559,4,21.25,85
COMMUNITY GRAMMAR SCHOOL IPEKUN,Junior and Senior Secondary school combined,True,False,False,4,4,236,7,False,0,122,114,3,1,2014-05-02,formal_only,IPEKUN,3,public,education,oyo,8.35827828,4.31631405,4,59.0,236
Islamic comprehensive college,Junior Secondary school only,False,True,False,7,10,50,5,False,5,20,30,5,5,2014-04-17,integrated,Ajangba kisi,1,private,education,oyo,9.08236738,3.83320392,10,5.0,50
FREEDOM PRIMARY SCH OKPUITUMO,Pre-primary and Primary school combined,True,False,True,6,6,201,7,False,0,81,120,4,2,2014-04-17,formal_only,Ndiebor Okpuitumo,Ndiebor Okpuitumo ward 10,public,education,ebonyi,6.26079067,8.23534672,6,33.5,201
OKPUITIMO HIGH HILL CENTRAL SCHOOL,Pre-primary and Primary school combined,False,False,True,13,13,335,12,False,0,158,177,2,11,2014-04-17,formal_only,Ndiebor Okpuitumo,Ward 10,public,education,ebonyi,6.27214182,8.18715821,13,25.76923076923077,335
Adasobo grammar school,Junior and Senior Secondary school combined,True,True,False,1,7,535,15,False,3,282,253,6,1,2014-04-17,formal_only,Agede,9,public,education,oyo,9.07623103,3.82956261,7,76.42857142857143,535
ITIM UKWU PRIMARY SCHOOL 1,Primary school only,True,True,False,9,9,152,12,False,4,84,68,2,7,2014-04-17,formal_only,Enohia,Itim ward B,public,education,ebonyi,5.83074301,7.92506328,9,16.88888888888889,152
Timlag Nur/Pri School,Pre-primary and Primary school combined,True,False,False,8,27,43,13,False,0,20,23,6,21,2014-05-02,formal_only,Ota,Ota Ward,private,education,ogun,6.70211429,3.24216288,27,1.5925925925925926,43
Shababdeen memorial nursery and primary school,Pre-primary and Primary school combined,False,False,True,9,11,250,11,False,0,138,112,7,4,2014-04-17,integrated,Agede,4,private,education,oyo,9.07624336,3.83434453,11,22.727272727272727,250
GUNU. PRI. SCH.,Pre-primary and Primary school combined,True,True,False,17,27,664,10,False,7,333,331,5,22,2014-04-17,formal_only,GUNU,PINA/SHE,public,education,niger,9.66795333333333,6.72358333333333,27,24.59259259259259,664
LGEA Primary school Atoga 2,Primary school only,False,False,False,2,2,62,4,False,0,32,30,2,0,2014-04-17,formal_only,Atoga,Unale,public,education,kogi,6.84458833333333,6.70079666666667,2,31.0,62
Maikurhuna Primary School,Primary school only,False,False,False,0,1,138,7,False,0,119,19,1,0,2014-04-17,formal_only,Maikurhuna,Ungushi,public,education,sokoto,12.0166633333333,4.62295166666667,1,138.0,138
Nabasa Primary School,Primary school only,False,False,False,0,1,80,3,False,0,50,30,1,0,2014-04-17,formal_only,Nabasa,Sangi,public,education,sokoto,11.6793483333333,4.63989833333333,1,80.0,80
NDIURUKU JUNIOR SEC. SCHOOL,Primary and Junior Secondary school combined,True,False,False,12,12,382,9,False,0,182,200,8,4,2014-04-17,formal_only,Amagu,Amagu Enyigba,public,education,ebonyi,6.20317921,8.11056088,12,31.833333333333332,382
Unguwar gamji model primary school,Primary school only,False,False,True,1,2,59,2,False,0,47,12,2,0,2014-04-20,formal_only,Uguwar gamji,Lagga/Randali,public,education,kebbi,12.45940133,4.35567342,2,29.5,59
Doka primary school,Primary school only,False,False,False,1,2,154,2,False,0,102,52,2,0,2014-04-17,formal_only,Doka,Wuya,public,education,zamfara,12.048933506012,6.11951351165771,2,77.0,154
LGEA pilot School Odeke 6,Primary school only,False,False,False,1,1,102,3,False,0,57,45,1,0,2014-04-17,formal_only,Odeke,Odeke,public,education,kogi,6.71580666666667,6.80567166666667,1,102.0,102
Muslim community nursery primary school,Pre-primary and Primary school combined,True,True,True,5,12,65,11,False,1,28,37,1,11,2014-05-02,formal_only,Ibokun,1,private,education,osun,7.78669984,4.7363882,12,5.416666666666667,65
Lgea central school Odeke 5,Primary school only,False,False,False,2,2,101,3,False,0,56,45,2,0,2014-04-17,formal_only,Odeke,Odeke,public,education,kogi,6.71603166666667,6.80569,2,50.5,101
LGEA Central School Odeke 3,Primary school only,False,False,False,1,1,131,6,False,0,77,54,1,0,2014-04-17,formal_only,Odeke,Odeke,public,education,kogi,6.70795666666667,6.79619666666667,1,131.0,131
Nomadic primary school,Primary school only,True,True,False,3,3,248,3,False,2,157,91,2,1,2014-04-17,formal_only,Mijemu,9,public,education,oyo,9.15221767,3.73898691,3,82.66666666666667,248
UBE Gagari,Primary school only,False,False,True,4,5,250,0,False,0,165,85,2,3,2014-04-17,formal_only,Gagari,Kinkiba,public,education,kaduna,10.99007,7.83458833333333,5,50.0,250
Government Day Secondary School Matari,Junior Secondary school only,True,True,False,7,8,107,9,False,1,87,20,8,0,2014-04-17,formal_only,Matari,Maigana,public,education,kaduna,10.93469,7.83564666666667,8,13.375,107
LGEA Central school Odeke 4,Primary school only,False,False,False,1,1,130,6,False,0,76,54,0,1,2014-04-17,formal_only,Odeke,Odeke,public,education,kogi,6.708255,6.79583333333333,1,130.0,130
"Community secondary school, Umueze",Junior and Senior Secondary school combined,False,False,False,29,29,315,12,False,0,116,199,5,24,2014-04-17,formal_only,Umueze,Umueze,public,education,enugu,6.3179486989975,7.53817141056061,29,10.862068965517242,315
COMMUNITY PRIMARY SCHOOL.,Primary school only,False,True,False,8,8,763,6,False,3,229,534,2,6,2014-04-17,formal_only,OKOROBOILE,5,public,education,rivers,4.47616932,7.54715389,8,95.375,763
"Alins comprehesive secondary school, Agbani",Junior and Senior Secondary school combined,True,True,True,9,21,327,7,True,4,156,171,16,5,2014-04-17,formal_only,Agbani,Agbani,private,education,enugu,6.30673170089722,7.55407154560089,21,15.571428571428571,327
Rose Int Nur Prm Sch,Pre-primary and Primary school combined,False,False,True,10,12,150,10,False,0,65,85,7,5,2014-04-17,formal_only,Diko,Diko,private,education,niger,9.26834056153893,7.21071786247194,12,12.5,150
U B E Ilmunnur Nur/pri schools school ,Pre-primary and Primary school combined,True,False,False,2,4,36,2,True,0,16,20,0,4,2014-04-17,integrated,Unguwan Dallatu,Magajiya,public,education,niger,9.17700032237917,7.17712034471333,4,9.0,36
GOVERNMENT DAY SECONDARY SCHOOL GANTSA,Junior and Senior Secondary school combined,True,True,True,0,3,112,3,False,6,112,0,3,0,2014-04-17,formal_only,GANTSA,GANTSA,public,education,jigawa,11.66720844,9.73289059,3,37.333333333333336,112
Lagacy primary school,Primary and Junior Secondary school combined,False,True,True,22,22,667,12,True,12,312,355,4,18,2014-04-17,formal_only,Madalla,Iku South I,private,education,niger,9.11146687343717,7.21214069053531,22,30.318181818181817,667
TIJIYO PRIMARY SCHOOL,Pre-primary and Primary school combined,False,True,False,9,10,191,7,False,6,104,87,10,0,2014-04-17,formal_only,TIJIYO,AHOTO,public,education,jigawa,11.63771562,9.77025396,10,19.1,191
Islamic Center,"Primary, Junior and Senior Secondary school combined",True,True,True,29,38,1563,29,True,8,711,852,17,21,2014-04-17,integrated,Madalla,Iku South I,private,education,niger,9.11222375929356,7.21599309705198,38,41.13157894736842,1563
JAKA PRIMARY SCHOOL,Primary school only,True,False,True,5,5,193,2,False,0,130,63,5,0,2014-04-17,formal_only,JAKA,MADABE,public,education,jigawa,11.71461258,9.74685229,5,38.6,193
Calvary Nur/ Prm Sch,Pre-primary and Primary school combined,True,True,False,8,9,165,11,True,2,81,84,3,6,2014-04-17,formal_only,Madalla,Iku South I,private,education,niger,9.11356880329549,7.22107856534421,9,18.333333333333332,165
Kundum primary school,Primary school only,False,False,False,4,5,470,6,False,0,210,260,5,0,2014-05-05,formal_only,Kundum,Kardam word,public,education,bauchi,9.87011611461639,9.33100283145905,5,94.0,470
Sheba Nursery & Primary School,Pre-primary and Primary school combined,True,True,False,6,14,520,8,True,2,200,320,5,9,2014-04-17,formal_only,Aduralere ilorin,Zango,private,education,kwara,8.49838509,4.56571162,14,37.142857142857146,520
SHEIK ABUBAKAR MAHMOOD GUMI MEMORIAL ISLAMIYYA AND PRIMARYSCHOOL,Pre-primary and Primary school combined,True,True,True,5,12,162,16,True,6,109,53,3,9,2014-04-21,formal_only,NASARAWA,NASARAWA,private,education,katsina,11.53320032,7.30727717,12,13.5,162
Government Day Secondary School,Junior and Senior Secondary school combined,True,True,False,26,65,871,10,True,3,436,435,22,43,2014-04-17,formal_only,Okelele Ilorin,Ibagun,public,education,kwara,8.51098041,4.54462845,65,13.4,871
Kata Seni Prm Sch,Primary school only,True,False,False,3,3,160,2,False,0,70,90,1,2,2014-04-17,formal_only,Kata Seni,Ijah Koro,private,education,niger,9.25025157630444,7.29995562694967,3,53.333333333333336,160
St. Anthony Junior Secondary School,Junior and Senior Secondary school combined,False,True,False,7,32,923,15,True,4,505,418,8,24,2014-04-17,formal_only,Ilorin,Magaji Are2,public,education,kwara,8.486061,4.5709718,32,28.84375,923
Ijah Koro primary ,Primary school only,False,True,False,4,10,549,10,False,3,291,258,4,6,2014-04-17,formal_only,Ijah Koro,Ijah Koro,public,education,niger,9.24429003149271,7.29596718214452,10,54.9,549
Chawa Prm Sch,Primary school only,False,True,False,3,5,293,9,False,2,113,180,5,0,2014-04-17,formal_only,Chawa,Dogon Kurmi,public,education,niger,9.30565956048667,7.28569465689361,5,58.6,293
Central Primary School,Primary school only,False,False,False,49,54,1028,26,True,0,515,513,13,41,2014-04-17,formal_only,Kagara ,Chikin Gari,public,education,niger,10.1857461081818,6.25368598848581,54,19.037037037037038,1028
J.S.S.Tara,Junior Secondary school only,True,False,False,18,18,240,6,False,0,210,30,18,0,2014-04-17,formal_only,Tara,Tara,public,education,sokoto,13.47088374,6.35776137,18,13.333333333333334,240
Kufai Upper Basic Secondary School,Junior Secondary school only,True,False,False,5,5,400,4,True,0,240,160,5,0,2014-06-05,formal_only,Kufai,Palama,public,education,bauchi,10.0113233333333,9.25963333333333,5,80.0,400
Balkore primary school,Primary school only,True,False,False,3,3,192,5,False,0,128,64,2,1,2014-04-17,formal_only,Balkore,Sabon birni gidan karma,public,education,sokoto,13.2997022,5.23193511,3,64.0,192
Divine Nur Prm Sch,Pre-primary and Primary school combined,False,False,False,2,4,58,3,True,0,26,32,1,3,2014-04-17,formal_only,Madalla,Iku South I,private,education,niger,9.10331035964191,7.21494980156422,4,14.5,58
TSANGAYA MODEL PRIMARY SCHOOL,Primary school only,True,True,True,5,9,134,16,True,20,134,0,9,0,2014-04-17,integrated,GANTSA,GANTSA,public,education,jigawa,11.67654864,9.73753023,9,14.88888888888889,134
Daku Junior Sec Sch,Junior Secondary school only,False,False,True,10,12,285,7,False,0,167,118,10,2,2014-04-17,formal_only,Diko,Diko,public,education,niger,9.33753074146807,7.21298131160438,12,23.75,285
GOVERNMENT DAY JUNIOR SECONDARY SCHOOL GANTSA,Junior and Senior Secondary school combined,True,True,True,4,4,142,6,False,4,111,31,4,0,2014-04-17,formal_only,GANTSA,GANTSA,public,education,jigawa,11.66698226,9.73252454,4,35.5,142
KORAMA PRIMARY SCHOOL,Primary school only,False,False,True,2,5,293,4,False,0,189,104,5,0,2014-04-17,formal_only,KORAMA,GUDDUBA,public,education,jigawa,11.78625021,9.38303518,5,58.6,293
GALADANCHI PRIMARY SCHOOL,Pre-primary and Primary school combined,True,True,False,5,15,740,8,False,30,428,312,7,8,2014-04-17,formal_only,GALADANCHI,LIMAWA,public,education,jigawa,11.74876101,9.38226081,15,49.333333333333336,740
EPHUENYIM PRI. SCH. OKPUITUMO,Primary school only,True,False,True,7,7,236,7,False,0,103,133,6,1,2014-04-17,formal_only,Ndiegu Okpuitumo,Ndiegu Okpuitumo ward 11,public,education,ebonyi,6.25030906,8.3350587,7,33.714285714285715,236
Unity Secondary School  Oshimaka Edda,Junior and Senior Secondary school combined,False,False,False,16,16,560,14,False,0,290,270,9,7,2014-04-17,formal_only,Edda,Ward 7,private,education,ebonyi,6.23797595500946,8.19247484207153,16,35.0,560
Sabon-Gari Primary School,Primary school only,True,True,False,6,6,1025,8,False,12,644,381,5,1,2014-04-17,formal_only,Sabon-Gari,Sabon-Gari,public,education,katsina,12.49112892,7.94432487,6,170.83333333333334,1025
Odageredda Central School,Pre-primary and Primary school combined,True,False,False,8,8,201,18,False,0,91,110,3,5,2014-04-17,formal_only,Edda,Ward 9,public,education,ebonyi,6.23798668384552,8.19040954113007,8,25.125,201
UBE PRIMARY SCHOOL UNGUWAN KAUCHI,Primary school only,False,False,False,4,6,193,4,False,0,82,111,0,6,2014-04-17,formal_only,UNGUWAN KAUCHI,SABON BIRNI,public,education,kaduna,10.413195,8.62742166666667,6,32.166666666666664,193
Baurawa Primary School,Primary school only,False,True,False,2,2,899,4,False,3,524,375,2,0,2014-04-17,formal_only,Baurawa,Baurawa,public,education,katsina,12.51956483,7.9267198,2,449.5,899
"Jss Jibi, Mopol Barack",Junior Secondary school only,True,True,False,22,22,389,18,False,10,192,197,6,16,2014-04-17,formal_only,"Jibi, Mopol Baracks",Byazhin,public,education,fct,9.13963392,7.27978312,22,17.681818181818183,389
Musab Ibn Umair Islamiya primary school,Primary school only,True,True,False,0,11,500,2,True,4,200,300,7,4,2014-04-17,formal_only,Ringim,Ringim,public,education,jigawa,12.15206603,9.16559332,11,45.45454545454545,500
Ezekwudo Primary School Neni,Pre-primary and Primary school combined,True,False,False,10,10,243,9,False,0,123,120,0,10,2014-04-17,formal_only,Neni,Neni 2,public,education,anambra,6.09648963,7.00655522,10,24.3,243
Zangon Yasanya Primary School,Primary school only,True,True,False,5,6,1025,6,False,7,644,381,5,1,2014-04-17,formal_only,Zangon Yasanya,Zangon Yasanya,public,education,katsina,12.57686843,7.95045423,6,170.83333333333334,1025
Doka primary school,Primary school only,False,False,False,3,7,113,6,False,0,77,36,7,0,2014-05-02,formal_only,Doka,Doka,public,education,kebbi,11.20194515,5.45650987,7,16.142857142857142,113
Jofalawa Primary School,Pre-primary and Primary school combined,True,True,False,7,7,946,11,False,11,550,396,7,0,2014-04-17,formal_only,Jofalawa,Jofalawa,public,education,katsina,12.56414548,7.96647625,7,135.14285714285714,946
NDIAJA COMM. PRI. SCH. OKPUITUMO,Primary school only,False,False,True,4,4,187,6,False,0,93,94,3,1,2014-04-17,formal_only,Ndiegu Okpuitumo,Ndiegu Okpuitumo ward 11,public,education,ebonyi,6.25212015,8.29037682,4,46.75,187
Iyariya Edda Community Primary School,Pre-primary and Primary school combined,False,False,False,5,5,238,6,False,0,123,115,4,1,2014-04-17,formal_only,Edda,Ward 17,public,education,ebonyi,6.24893546104431,8.2292103767395,5,47.6,238
OMAKORI JUNIOR SEC. SCHOOL OKPUITUMO,Junior and Senior Secondary school combined,True,True,False,15,15,800,15,False,2,500,300,12,3,2014-04-17,integrated,Ndiegu Okpuitumo,Ndiegu Okpuitumo ward 11,public,education,ebonyi,6.27102008,8.29184154,15,53.333333333333336,800
Ogada-Edda Community Primarry School,Pre-primary and Primary school combined,True,True,False,6,6,220,6,False,6,95,125,4,2,2014-04-17,formal_only,Edda,Ward 17,public,education,ebonyi,6.23489677906036,8.31015944480896,6,36.666666666666664,220
"Igweamaka Primary School,Aguluzigbo",Pre-primary and Primary school combined,False,True,True,9,9,152,5,False,5,86,66,1,8,2014-04-17,formal_only,Aguluzigbo,Aguluzigbo 1,public,education,anambra,6.06572544,7.0331898,9,16.88888888888889,152
"Udokamma Primary School,Aguluzigbo",Pre-primary and Primary school combined,True,True,False,9,9,203,10,True,5,97,106,0,9,2014-04-17,formal_only,Aguluzigbo,Aguluzigbo 1,public,education,anambra,6.05069562,7.03349892,9,22.555555555555557,203
"Holy Innocents Nursary/Primary School,Aguluzigbo",Pre-primary and Primary school combined,False,True,True,3,5,89,3,False,5,46,43,0,5,2014-04-17,formal_only,Aguluzigbo,Aguluzigbo 1,public,education,anambra,6.05609812,7.02860096,5,17.8,89
ARMY CHILDRENÃ¢ÂÂS SCHOOL 2,Pre-primary and Primary school combined,False,False,True,24,24,735,22,False,0,348,387,1,23,2014-04-17,integrated,Amagu,Amagu Unuhu ward,public,education,ebonyi,6.26571486,8.11195483,24,30.625,735
Jargaba primary school,Primary school only,True,False,True,1,3,124,2,False,0,78,46,3,0,2014-04-17,formal_only,Jargaba,Yar sabaya,public,education,zamfara,12.1450048685074,6.03440165519714,3,41.333333333333336,124
"Community Primary School,",Primary school only,False,False,False,7,8,173,6,False,0,80,93,3,5,2014-04-17,formal_only,AGBEKOROMA/ATABA.,10,public,education,rivers,4.56332456,7.34842082,8,21.625,173
PCN.NUR/PRY SCH,Pre-primary and Primary school combined,False,False,False,7,7,98,7,False,0,37,61,4,3,2014-04-17,formal_only,USE ABAT,4,private,education,akwa,5.12696329,7.8490615,7,14.0,98
Community Primary School,Primary school only,True,True,False,5,8,525,8,False,14,261,264,4,4,2014-04-17,formal_only,Asamabiri,Ward   7,public,education,bayelsa,5.31419634819031,6.46942377090454,8,65.625,525
Junior Secondary School Mpape,Junior Secondary school only,True,True,False,35,35,1900,44,False,8,946,954,17,18,2014-04-17,formal_only,Mpape,Dutse Alhaji,public,education,fct,9.13007833333333,7.50013833333333,35,54.285714285714285,1900
CENTRAL PRIMARY SCHOOL,Pre-primary and Primary school combined,False,True,True,35,35,1600,22,True,4,900,700,16,19,2014-04-17,formal_only,WUSHISHI,BARWA,public,education,niger,9.72942098097,6.07500124579756,35,45.714285714285715,1600
St. Mathew Secondary School,Junior and Senior Secondary school combined,True,False,False,1,1,41,6,False,0,28,13,1,0,2014-04-17,formal_only,Ayama-Ibeni,12,private,education,bayelsa,4.97041761875153,6.02621018886566,1,41.0,41
Foundation Academy Primary School,Pre-primary and Primary school combined,False,False,True,2,6,367,10,True,0,159,208,2,4,2014-04-17,formal_only,Sagbama,10,private,education,bayelsa,5.15376806259155,6.19321525096893,6,61.166666666666664,367
Daralulum Islamic nursary  school,Pre-primary and Primary school combined,True,False,False,6,11,136,8,True,0,61,75,5,6,2014-04-17,integrated,Junior staff quaters,Maikunkele,private,education,niger,9.69054833333333,6.48682666666667,11,12.363636363636363,136
Tunga Garba primary school,Primary school only,False,False,False,3,3,132,2,False,0,87,45,3,0,2014-04-17,formal_only,Tunga garba,Ishau,public,education,niger,9.60957,7.24391166666667,3,44.0,132
